year,sector,food_type,tons_supply,tons_surplus,tons_waste,tons_uneaten,tons_anaerobically_digested,tons_composted,tons_landfilled,meals_wasted
2019,Foodservice,Breads & Bakery,134654.44,2470.83,2109.61,2409.42,0.62,291.39,1905.79,4015701.93
2019,Foodservice,Dairy & Eggs,264280.17,4849.39,4140.43,4728.86,1.22,571.91,3740.41,7881436.64
2019,Foodservice,Dry Goods,868900.89,15943.82,13612.93,15547.56,4.00,1880.32,12297.72,25912603.16
2019,Foodservice,Fresh Meat & Seafood,284431.07,5219.14,4456.13,5089.43,1.31,615.51,4025.61,8482382.25
2019,Foodservice,Frozen,4289.05,78.70,67.20,76.75,0.02,9.28,60.70,127909.19
2019,Foodservice,Prepared Foods,0.00,734537.14,638469.88,732359.77,10738.60,82551.91,577191.85,1220599622.00
2019,Foodservice,Produce,117250.60,2151.48,1836.95,2098.01,0.54,253.73,1659.47,3496679.97
2019,Foodservice,Ready-to-drink Beverages,339171.89,6223.60,5313.75,6068.93,1.56,733.97,4800.37,10114878.26
2019,Foodservice,Breads & Bakery,98556.18,1808.45,1600.67,1765.37,0.44,159.94,1470.83,2942286.33
2019,Foodservice,Dairy & Eggs,139962.32,2568.23,2273.15,2507.05,0.62,227.13,2088.77,4178420.93
2019,Foodservice,Dry Goods,619944.14,11375.61,10068.60,11104.65,2.74,1006.06,9251.91,18507749.38
2019,Foodservice,Fresh Meat & Seafood,139120.88,2552.79,2259.48,2491.98,0.62,225.77,2076.21,4153300.48
2019,Foodservice,Prepared Foods,0.00,462297.81,417269.75,461120.44,5013.39,38555.99,383605.56,768534070.50
2019,Foodservice,Produce,201549.32,3698.31,3273.39,3610.22,0.89,327.08,3007.88,6017032.77
2019,Foodservice,Ready-to-drink Beverages,67462.97,1237.91,1095.68,1208.42,0.30,109.48,1006.80,2014032.62
2019,Foodservice,Breads & Bakery,3737.65,68.58,58.83,66.89,0.02,7.83,51.99,111480.20
2019,Foodservice,Dairy & Eggs,17469.60,320.56,274.96,312.63,0.08,36.61,243.02,521053.29
2019,Foodservice,Dry Goods,55812.19,1024.12,878.46,998.80,0.26,116.96,776.39,1664669.98
2019,Foodservice,Fresh Meat & Seafood,122147.97,2241.34,1922.55,2185.93,0.56,255.97,1699.17,3643219.31
2019,Foodservice,Frozen,1000.84,18.36,15.75,17.91,0.00,2.10,13.92,29851.18
2019,Foodservice,Prepared Foods,0.00,108516.68,94782.88,108202.79,1535.79,11798.98,83798.22,180337983.90
2019,Foodservice,Produce,69647.51,1277.99,1096.22,1246.40,0.32,145.95,968.85,2077326.01
2019,Foodservice,Ready-to-drink Beverages,25635.90,470.40,403.50,458.77,0.12,53.72,356.61,764623.55
2019,Foodservice,Breads & Bakery,162299.59,2978.10,2716.45,2909.83,0.69,187.51,2410.31,4849708.81
2019,Foodservice,Dairy & Eggs,77207.83,1416.72,1292.25,1384.24,0.33,89.20,1146.61,2307063.81
2019,Foodservice,Dry Goods,138008.60,2532.38,2309.89,2474.32,0.59,159.44,2049.56,4123864.44
2019,Foodservice,Fresh Meat & Seafood,328918.26,6035.46,5505.19,5897.09,1.40,380.00,4884.76,9828477.11
2019,Foodservice,Frozen,743.43,13.64,12.44,13.33,0.00,0.86,11.04,22214.72
2019,Foodservice,Prepared Foods,0.00,148941.79,138556.19,147979.57,865.17,8344.01,122950.58,246632618.80
2019,Foodservice,Produce,261868.82,4805.14,4382.97,4694.98,1.12,302.54,3889.01,7824958.40
2019,Foodservice,Ready-to-drink Beverages,112636.29,2066.81,1885.22,2019.43,0.48,130.13,1672.76,3365709.07
2019,Foodservice,Breads & Bakery,30795.86,565.09,500.60,551.64,0.14,49.57,448.91,919400.50
2019,Foodservice,Dairy & Eggs,79674.97,1461.99,1295.14,1427.20,0.35,128.24,1161.41,2378670.49
2019,Foodservice,Dry Goods,207093.21,3800.04,3366.36,3709.62,0.91,333.31,3018.77,6182700.96
2019,Foodservice,Fresh Meat & Seafood,306604.35,5626.01,4983.94,5492.14,1.35,493.48,4469.33,9153573.92
2019,Foodservice,Prepared Foods,0.00,376919.97,340522.52,375983.10,4061.92,31175.79,305546.49,626638498.40
2019,Foodservice,Produce,295268.81,5418.01,4799.68,5289.09,1.30,475.23,4304.10,8815154.94
2019,Foodservice,Ready-to-drink Beverages,92515.67,1697.61,1503.87,1657.22,0.41,148.90,1348.59,2762025.59
2019,Foodservice,Breads & Bakery,434376.67,7970.56,6700.64,7769.00,2.03,1038.63,5945.90,12948338.66
2019,Foodservice,Dairy & Eggs,649009.52,11908.94,10011.55,11607.80,3.03,1551.83,8883.87,19346331.68
2019,Foodservice,Dry Goods,1427177.58,26187.87,22015.47,25525.65,6.67,3412.49,19535.70,42542751.54
2019,Foodservice,Fresh Meat & Seafood,1109831.31,20364.75,17120.13,19849.78,5.19,2653.69,15191.75,33082973.23
2019,Foodservice,Frozen,65574.57,1203.25,1011.55,1172.83,0.31,156.79,897.61,1954712.97
2019,Foodservice,Prepared Foods,0.00,1890487.22,1616758.12,1884555.60,30634.26,235456.93,1435616.19,3140925992.00
2019,Foodservice,Produce,902542.12,16561.12,13922.51,16142.33,4.22,2158.05,12354.31,26903887.53
2019,Foodservice,Ready-to-drink Beverages,589753.83,10821.64,9097.47,10547.99,2.76,1410.15,8072.75,17579978.13
2019,Foodservice,Breads & Bakery,125022.33,2293.66,1939.73,2236.04,0.58,288.03,1711.64,3726731.54
2019,Foodservice,Dairy & Eggs,186797.98,3426.99,2898.19,3340.90,0.87,430.36,2557.40,5568172.59
2019,Foodservice,Dry Goods,410770.37,7535.99,6373.14,7346.68,1.91,946.36,5623.74,12244459.94
2019,Foodservice,Fresh Meat & Seafood,319431.74,5860.29,4956.01,5713.07,1.48,735.93,4373.25,9521789.86
2019,Foodservice,Frozen,18873.68,346.26,292.83,337.56,0.09,43.48,258.39,562596.54
2019,Foodservice,Prepared Foods,0.00,306538.36,263321.57,305652.73,4734.61,37478.33,232572.11,509421211.60
2019,Foodservice,Produce,259769.75,4765.73,4030.35,4646.01,1.21,598.47,3556.43,7743353.71
2019,Foodservice,Ready-to-drink Beverages,169743.00,3114.10,2633.58,3035.87,0.79,391.06,2323.90,5059788.80
2019,Foodservice,Breads & Bakery,68608.89,1258.70,1059.06,1226.90,0.32,163.17,918.49,2044831.79
2019,Foodservice,Dairy & Eggs,102509.71,1880.64,1582.35,1833.13,0.48,243.80,1372.32,3055217.74
2019,Foodservice,Dry Goods,225419.74,4135.55,3479.61,4031.07,1.05,536.11,3017.75,6718450.37
2019,Foodservice,Fresh Meat & Seafood,175295.55,3215.97,2705.89,3134.72,0.82,416.90,2346.73,5224540.15
2019,Foodservice,Frozen,10357.37,190.02,159.88,185.22,0.05,24.63,138.66,308692.82
2019,Foodservice,Prepared Foods,0.00,168220.01,143729.94,167731.25,2684.64,21249.76,124801.01,279552077.70
2019,Foodservice,Produce,142554.65,2615.31,2200.49,2549.23,0.67,339.03,1908.42,4248724.55
2019,Foodservice,Ready-to-drink Beverages,93150.39,1708.94,1437.88,1665.76,0.44,221.54,1247.03,2776271.07
2019,Foodservice,Breads & Bakery,75727.81,1389.30,1121.65,1352.64,0.37,224.67,978.10,2254401.41
2019,Foodservice,Dairy & Eggs,113146.20,2075.78,1675.88,2021.00,0.55,335.68,1461.40,3368339.26
2019,Foodservice,Dry Goods,248809.48,4564.66,3685.27,4444.20,1.21,738.16,3213.63,7407007.31
2019,Foodservice,Fresh Meat & Seafood,193484.37,3549.66,2865.82,3455.99,0.94,574.02,2499.05,5759990.02
2019,Foodservice,Frozen,11432.06,209.73,169.33,204.20,0.06,33.92,147.66,340329.97
2019,Foodservice,Prepared Foods,0.00,185674.66,151887.68,185111.17,3717.61,29414.37,132500.47,308518622.40
2019,Foodservice,Produce,157346.25,2886.67,2330.55,2810.50,0.77,466.81,2032.29,4684165.56
2019,Foodservice,Ready-to-drink Beverages,102815.76,1886.26,1522.87,1836.48,0.50,305.03,1327.97,3060804.06
2019,Foodservice,Breads & Bakery,205499.74,5272.96,4354.39,5137.03,1.37,761.04,3875.66,8561715.81
2019,Foodservice,Dairy & Eggs,307040.63,7878.42,6505.96,7675.32,2.04,1137.08,5790.68,12792204.33
2019,Foodservice,Dry Goods,675185.02,17324.71,14306.67,16878.10,4.50,2500.46,12733.76,28130168.52
2019,Foodservice,Fresh Meat & Seafood,525051.32,13472.40,11125.45,13125.10,3.50,1944.46,9902.29,21875162.71
2019,Foodservice,Frozen,31022.74,796.02,657.35,775.50,0.21,114.89,585.08,1292497.62
2019,Foodservice,Prepared Foods,0.00,544615.08,456555.61,543583.12,10153.78,76720.13,406469.03,905971859.30
2019,Foodservice,Produce,426984.65,10956.09,9047.49,10673.65,2.84,1581.28,8052.79,17789420.35
2019,Foodservice,Ready-to-drink Beverages,279007.29,7159.11,5911.96,6974.55,1.86,1033.27,5261.98,11624253.94
2019,Foodservice,Breads & Bakery,121606.64,2231.41,1878.92,2175.08,0.57,287.92,1713.52,3625140.39
2019,Foodservice,Dairy & Eggs,1058565.48,19424.05,16355.67,18933.74,4.94,2506.27,14915.94,31556241.23
2019,Foodservice,Dry Goods,233895.77,4291.85,3613.87,4183.51,1.09,553.77,3295.76,6972522.29
2019,Foodservice,Prepared Foods,0.00,185807.84,159744.57,182461.74,1449.04,20114.17,145673.62,304102894.90
2019,Foodservice,Ready-to-drink Beverages,485826.94,8914.64,7506.41,8689.61,2.27,1150.25,6845.65,14482686.53
2019,Foodservice,Dairy & Eggs,13943.72,255.86,169.12,247.87,0.08,76.66,156.37,413117.18
2019,Foodservice,Dry Goods,81858.39,1502.05,992.85,1455.15,0.47,450.06,918.01,2425257.90
2019,Foodservice,Fresh Meat & Seafood,93716.90,1719.65,1136.68,1665.96,0.54,515.25,1050.99,2776595.59
2019,Foodservice,Prepared Foods,0.00,37981.68,25668.01,36771.76,826.43,9774.60,23734.14,61286267.15
2019,Foodservice,Produce,56803.52,1042.31,688.96,1009.77,0.32,312.30,637.03,1682945.32
2019,Foodservice,Ready-to-drink Beverages,50054.71,918.47,607.11,889.80,0.29,275.20,561.34,1482994.88
2019,Foodservice,Breads & Bakery,67970.04,1247.21,1021.05,1214.76,0.33,188.39,902.17,2024608.32
2019,Foodservice,Dairy & Eggs,158214.44,2903.14,2376.71,2827.62,0.76,438.51,2099.99,4712697.99
2019,Foodservice,Dry Goods,155426.47,2851.98,2334.83,2777.79,0.75,430.78,2062.98,4629653.41
2019,Foodservice,Fresh Meat & Seafood,86958.70,1595.64,1306.30,1554.13,0.42,241.02,1154.21,2590219.39
2019,Foodservice,Prepared Foods,0.00,96314.27,80551.80,94631.36,1065.33,12386.17,71170.48,157718934.10
2019,Foodservice,Produce,116793.68,2143.10,1754.48,2087.34,0.56,323.71,1550.21,3478907.32
2019,Foodservice,Ready-to-drink Beverages,136883.98,2511.74,2056.28,2446.40,0.66,379.39,1816.87,4077332.55
2019,Foodservice,Breads & Bakery,881770.87,16179.98,13712.86,15774.49,4.09,2004.00,12551.29,26290816.23
2019,Foodservice,Dairy & Eggs,2244166.29,41179.13,34900.16,40147.14,10.41,5100.31,31943.88,66911899.01
2019,Foodservice,Dry Goods,781039.71,14331.62,12146.34,13972.45,3.62,1775.07,11117.46,23287423.21
2019,Foodservice,Fresh Meat & Seafood,1208957.67,22183.66,18801.11,21627.72,5.61,2747.60,17208.53,36046194.08
2019,Foodservice,Frozen,69898.78,1282.60,1087.03,1250.46,0.32,158.86,994.95,2084097.01
2019,Foodservice,Prepared Foods,0.00,599041.80,518175.78,587716.57,3958.13,61801.32,474235.50,979527622.70
2019,Foodservice,Produce,601836.82,11043.35,9359.47,10766.59,2.79,1367.79,8566.66,17944322.81
2019,Foodservice,Ready-to-drink Beverages,1257440.46,23073.29,19555.09,22495.05,5.83,2857.78,17898.64,37491753.29
2019,Foodservice,Breads & Bakery,324365.18,5951.91,5160.48,5806.58,1.47,627.77,4791.30,9677641.56
2019,Foodservice,Dairy & Eggs,378854.75,6951.76,6027.37,6782.02,1.71,733.23,5596.19,11303372.46
2019,Foodservice,Dry Goods,289410.18,5310.51,4604.36,5180.84,1.31,560.12,4274.97,8634736.91
2019,Foodservice,Fresh Meat & Seafood,346774.84,6363.11,5517.00,6207.75,1.57,671.14,5122.32,10346247.93
2019,Foodservice,Prepared Foods,0.00,196613.52,173974.82,193465.43,1198.52,17279.02,161521.42,322442375.80
2019,Foodservice,Produce,238480.92,4375.98,3794.10,4269.14,1.08,461.55,3522.68,7115229.89
2019,Foodservice,Ready-to-drink Beverages,533008.64,9780.39,8479.88,9541.59,2.41,1031.58,7873.24,15902651.87
2019,Foodservice,Breads & Bakery,190133.57,3488.84,2648.85,3391.23,0.98,722.37,2253.08,5652049.99
2019,Foodservice,Dairy & Eggs,1443186.85,26481.63,20105.81,25740.74,7.42,5483.05,17101.75,42901229.95
2019,Foodservice,Dry Goods,583386.01,10704.79,8127.46,10405.30,3.00,2216.44,6913.12,17342160.23
2019,Foodservice,Fresh Meat & Seafood,137490.38,2522.87,1915.45,2452.28,0.71,522.36,1629.26,4087139.89
2019,Foodservice,Prepared Foods,0.00,314158.65,243890.25,305209.30,3380.00,54545.18,207355.47,508682161.00
2019,Foodservice,Produce,220443.73,4045.01,3071.12,3931.84,1.13,837.52,2612.26,6553071.86
2019,Foodservice,Ready-to-drink Beverages,1246300.82,22868.89,17362.88,22229.07,6.41,4735.03,14768.65,37048451.67
2019,Foodservice,Breads & Bakery,14536.00,266.73,217.65,259.76,0.07,40.96,201.74,432941.43
2019,Foodservice,Dairy & Eggs,25133.38,461.18,376.32,449.14,0.12,70.82,348.82,748574.53
2019,Foodservice,Dry Goods,46185.25,847.47,691.53,825.35,0.22,130.14,640.99,1375585.11
2019,Foodservice,Fresh Meat & Seafood,76012.49,1394.78,1138.14,1358.38,0.37,214.19,1054.95,2263961.72
2019,Foodservice,Frozen,174.44,3.20,2.61,3.12,0.00,0.49,2.42,5195.58
2019,Foodservice,Prepared Foods,0.00,16801.39,14000.53,16422.21,133.46,2154.22,12978.17,27370357.38
2019,Foodservice,Produce,31348.51,575.23,469.38,560.21,0.15,88.33,435.08,933686.29
2019,Foodservice,Ready-to-drink Beverages,10956.11,201.04,164.05,195.79,0.05,30.87,152.06,326317.53
2019,Foodservice,Breads & Bakery,41155.90,755.19,636.98,736.16,0.19,96.41,566.24,1226933.03
2019,Foodservice,Dairy & Eggs,132131.64,2424.54,2045.04,2363.45,0.62,309.54,1817.91,3939087.27
2019,Foodservice,Dry Goods,136693.40,2508.24,2115.64,2445.05,0.64,320.22,1880.67,4075081.70
2019,Foodservice,Fresh Meat & Seafood,34762.30,637.87,538.03,621.80,0.16,81.44,478.27,1036328.15
2019,Foodservice,Frozen,140673.32,2581.27,2177.24,2516.24,0.66,329.55,1935.43,4193730.43
2019,Foodservice,Prepared Foods,0.00,46198.94,39771.65,45288.72,304.00,4907.83,35354.13,75481196.40
2019,Foodservice,Produce,41363.38,758.99,640.19,739.87,0.19,96.90,569.09,1233118.43
2019,Foodservice,Ready-to-drink Beverages,35112.80,644.30,543.45,628.07,0.16,82.26,483.09,1046777.06
2019,Foodservice,Breads & Bakery,273873.35,5025.41,4087.78,4893.81,1.32,783.91,3742.88,8156352.82
2019,Foodservice,Dairy & Eggs,399199.24,7325.07,5958.37,7133.25,1.93,1142.64,5455.65,11888742.82
2019,Foodservice,Dry Goods,577124.50,10589.90,8614.05,10312.57,2.79,1651.92,7887.26,17187619.93
2019,Foodservice,Fresh Meat & Seafood,248449.85,4558.91,3708.31,4439.52,1.20,711.14,3395.43,7399203.25
2019,Foodservice,Prepared Foods,0.00,180536.02,150001.73,176896.87,1788.71,23778.12,137340.05,294828109.00
2019,Foodservice,Produce,151250.30,2775.35,2257.53,2702.67,0.73,432.93,2067.06,4504457.26
2019,Foodservice,Ready-to-drink Beverages,85632.22,1571.30,1278.13,1530.15,0.41,245.11,1170.29,2550254.08
2019,Foodservice,Breads & Bakery,100554.44,1845.11,1558.45,1798.70,0.47,233.54,1430.79,2997831.07
2019,Foodservice,Dairy & Eggs,152311.42,2794.82,2360.62,2724.52,0.71,353.75,2167.25,4540862.59
2019,Foodservice,Dry Goods,1470156.85,26976.51,22785.39,26297.89,6.84,3414.50,20918.94,43829808.40
2019,Foodservice,Fresh Meat & Seafood,626244.47,11491.22,9705.92,11202.14,2.91,1454.48,8910.87,18670235.94
2019,Foodservice,Prepared Foods,0.00,244579.49,210852.02,239868.12,1643.11,25790.76,193572.71,399780197.90
2019,Foodservice,Produce,542963.83,9963.07,8415.19,9712.43,2.53,1261.06,7725.86,16187388.96
2019,Foodservice,Breads & Bakery,351136.19,6443.14,5486.28,6282.52,1.62,773.92,5013.51,10470859.98
2019,Foodservice,Dairy & Eggs,248682.58,4563.18,3885.51,4449.42,1.15,548.10,3550.68,7415699.37
2019,Foodservice,Dry Goods,212999.50,3908.42,3327.98,3810.98,0.98,469.46,3041.20,6351632.10
2019,Foodservice,Fresh Meat & Seafood,475852.84,8731.62,7434.90,8513.94,2.20,1048.80,6794.21,14189902.89
2019,Foodservice,Prepared Foods,0.00,177275.45,154105.82,174260.92,1293.24,17842.13,140814.94,290434866.10
2019,Foodservice,Produce,416235.84,7637.68,6503.42,7447.28,1.92,917.40,5943.00,12412127.56
2019,Foodservice,Ready-to-drink Beverages,92226.58,1692.30,1440.98,1650.11,0.43,203.27,1316.81,2750191.15
2019,Foodservice,Breads & Bakery,227082.73,4166.83,3420.56,4058.75,1.09,620.61,3050.55,6764575.17
2019,Foodservice,Dairy & Eggs,339288.15,6225.74,5110.72,6064.24,1.63,927.27,4557.88,10107066.13
2019,Foodservice,Dry Goods,746097.58,13690.45,11238.51,13335.32,3.57,2039.07,10022.82,22225526.27
2019,Foodservice,Fresh Meat & Seafood,580195.81,10646.25,8739.53,10370.08,2.78,1585.66,7794.15,17283472.84
2019,Foodservice,Frozen,34280.97,629.04,516.38,612.72,0.16,93.69,460.52,1021196.86
2019,Foodservice,Prepared Foods,0.00,1077001.40,897407.41,1075340.59,21048.53,156631.38,800427.65,1792234316.00
2019,Foodservice,Produce,471829.51,8657.79,7107.20,8433.21,2.26,1289.50,6338.39,14055345.21
2019,Foodservice,Ready-to-drink Beverages,308310.55,5657.32,4644.10,5510.56,1.48,842.61,4141.74,9184273.50
2019,Foodservice,Breads & Bakery,39014.14,1000.71,867.57,976.27,0.25,105.62,765.66,1627121.83
2019,Foodservice,Dairy & Eggs,58291.69,1495.18,1296.25,1458.67,0.37,157.80,1143.98,2431110.23
2019,Foodservice,Dry Goods,128183.93,3287.91,2850.48,3207.62,0.81,347.01,2515.63,5346032.53
2019,Foodservice,Fresh Meat & Seafood,99681.03,2556.81,2216.65,2494.38,0.63,269.85,1956.25,4157292.25
2019,Foodservice,Frozen,5889.67,151.07,130.97,147.38,0.04,15.94,115.59,245634.30
2019,Foodservice,Prepared Foods,0.00,67309.24,59351.87,67123.55,870.74,6879.37,52372.97,111872587.50
2019,Foodservice,Produce,81063.07,2079.26,1802.63,2028.49,0.51,219.45,1590.87,3380812.31
2019,Foodservice,Ready-to-drink Beverages,52969.56,1358.66,1177.90,1325.49,0.34,143.39,1039.53,2209145.66
2019,Foodservice,Breads & Bakery,39376.60,1010.37,844.44,984.66,0.26,136.33,739.53,1641098.35
2019,Foodservice,Dairy & Eggs,58833.25,1509.61,1261.69,1471.20,0.39,203.70,1104.95,2451992.78
2019,Foodservice,Dry Goods,129374.83,3319.66,2774.46,3235.17,0.85,447.93,2429.78,5391953.44
2019,Foodservice,Fresh Meat & Seafood,100607.12,2581.50,2157.53,2515.80,0.66,348.33,1889.50,4193002.21
2019,Foodservice,Frozen,5944.39,152.53,127.48,148.65,0.04,20.58,111.64,247744.23
2019,Foodservice,Prepared Foods,0.00,47808.36,40721.63,47262.03,582.49,5771.71,35673.09,78770048.48
2019,Foodservice,Produce,81816.19,2099.34,1754.56,2045.91,0.54,283.27,1536.59,3409852.53
2019,Foodservice,Ready-to-drink Beverages,53461.67,1371.78,1146.49,1336.87,0.35,185.10,1004.06,2228121.60
2019,Foodservice,Breads & Bakery,120106.88,2203.89,1762.64,2145.18,0.59,372.11,1534.49,3575305.46
2019,Foodservice,Dairy & Eggs,179453.72,3292.87,2633.59,3205.15,0.88,555.97,2292.71,5341924.32
2019,Foodservice,Dry Goods,394620.28,7241.05,5791.28,7048.16,1.94,1222.58,5041.68,11746938.02
2019,Foodservice,Fresh Meat & Seafood,306872.78,5630.93,4503.54,5480.94,1.51,950.73,3920.62,9134896.59
